id;proposed_by_id;title;year;description;link;image;submission_date
1;;Burundi's full independence from Belgium is achieved;1962;;https://en.wikipedia.org/wiki/History_of_Burundi#Independence_(1962);1962_Flag_of_Burundi.png;
2;;The United States recognizes the new Cuban government of Fidel Castro;1959;;https://en.wikipedia.org/wiki/Fidel_Castro;1959_Fidel_Castro_1950s.jpeg;
3;;Morocco formally achieves its full independence from France;1956;;https://en.wikipedia.org/wiki/History_of_Morocco#Independent_Morocco_(since_1956);1956_independence_Morocco.png;
4;;Elizabeth II becomes Queen of the United Kingdom and other Commonwealth realms;1952;;https://en.wikipedia.org/wiki/Elizabeth_II;1952_Queen_Elizabeth_II.jpg;
5;;Willard Libby develops radiocarbon dating, a process that revolutionizes archaeology and paleontology;1949;;https://en.wikipedia.org/wiki/Radiocarbon_dating;1949_Willard_Libby_radiocarbon_dating.jpg;
6;;World War II, the deadliest conflict in history, comes to an end;1945;;https://en.wikipedia.org/wiki/World_War_II;1945_Potsdamer_Konferenz_Konferenztisch.jpg;
7;;"Animated musical film ""Fantasia"" is produced and released by Walt Disney Productions";1940;;https://en.wikipedia.org/wiki/Fantasia_(1940_film);1940_Fantasia_theatrical_trailer.png;
8;;"Belgian surrealist René Magritte paints ""Time Transfixed""";1938;;https://en.wikipedia.org/wiki/Time_Transfixed;1938_Time_transfixed.jpg;
9;;"Picasso's prominent work ""Guernica"" is painted and exhibited at the Paris International Exposition";1937;;https://en.wikipedia.org/wiki/Guernica_(Picasso);1937_Picasso_Guernica.jpeg;
10;;"Salvador Dalí paints ""The Persistence of Memory""";1931;;https://en.wikipedia.org/wiki/The_Persistence_of_Memory;1931_The_Persistence_of_Memory.jpg;
11;;"Maurice Ravel composes his most famous work, ""Boléro""";1929;;https://en.wikipedia.org/wiki/Bol%C3%A9ro;1929_Bolero_by_Ravel.jpg;
12;;The Stockholm Public Library designed by Gunnar Asplund is officially opened;1928;;https://en.wikipedia.org/wiki/Stockholm_Public_Library;1928_Stockholm_Library.jpg;
13;;"""Rhapsody in Blue"" by George Gershwin premieres at Aeolian Hall, Manhattan";1924;;https://en.wikipedia.org/wiki/Rhapsody_in_Blue;1924_Rhapsody_in_Blue.jpg;
14;;Famed Italian opera composer Giacomo Puccini dies in Brussels aged 65;1924;;https://en.wikipedia.org/wiki/Giacomo_Puccini;1924_Giacomo_Puccini_death.jpg;
15;;Naturalised American science fiction writer Isaac Asimov is born in Petrovichi, Russia;1920;;https://en.wikipedia.org/wiki/Isaac_Asimov;1920_Isaac_Asimov.jpg;
16;;"The controversial film ""The Birth of a Nation"", directed by D. W. Griffith, premieres in Los Angeles";1915;;https://en.wikipedia.org/wiki/The_Birth_of_a_Nation;1915_Birth_of_a_Nation_theatrical.jpg;
17;;Marie Curie wins the Nobel Prize in Chemistry for her discovery of the elements polonium and radium;1911;;https://en.wikipedia.org/wiki/Marie_Curie;1911_Marie_Curie_Nobel_(1903).jpg;
18;;"Marianne von Werefkin paints ""Tragic Atmosphere""";1910;;https://en.wikipedia.org/wiki/Marianne_von_Werefkin;1910_Tragic_Atmosphere.jpg;
19;;Einstein publishes the annus mirabilis papers, major contributions to the foundation of modern physics;1905;;https://en.wikipedia.org/wiki/Annus_mirabilis_papers;1905_Einstein.jpeg;
20;;"The film ""A Trip to the Moon"" by French filmmaker Georges Méliès is released";1902;;https://en.wikipedia.org/wiki/A_Trip_to_the_Moon;1902_Voyage_dans_la_lune.png;
21;;Nobel Prizes are awarded for the first time;1901;;https://en.wikipedia.org/wiki/Nobel_Prize;1901_Nobel_Prize.png;
22;;"""La bohème"" by Giacomo Puccini premieres in Turin";1896;;https://en.wikipedia.org/wiki/La_boh%C3%A8me;1896_La_Boheme.png;
23;;The island of Taiwan, together with the Penghu Islands, becomes a dependency of Japan;1895;;https://en.wikipedia.org/wiki/Taiwan_under_Japanese_rule;1895_Taiwan_under_Japanese_rule.jpg;
24;;New Zealand is the first country in the world to give women the right to vote in parliamentary elections;1893;;https://en.wikipedia.org/wiki/Timeline_of_women%27s_suffrage;1893_NZ_womens_suffrage.jpg;
25;;"""Gösta Berling's Saga"", debut novel of Swedish author Selma Lagerlöf, is published";1891;;https://en.wikipedia.org/wiki/Selma_Lagerl%C3%B6f;1891_Gösta_Berlings_saga.jpg;
26;;"Piano compositions ""Gymnopédies"" are written by French composer and pianist Erik Satie";1888;;https://en.wikipedia.org/wiki/Gymnop%C3%A9dies;1888_Eric_Satie_at_the_harmonium.jpg;
27;;"Édouard Manet finishes his painting ""Un bar aux Folies Bergère""";1882;;https://en.wikipedia.org/wiki/A_Bar_at_the_Folies-Berg%C3%A8re;1882_Un_Bar_aux_Folies-Bergere.jpg;
28;;"""A Doll's House"", a three-act play by Norwegian playwright Henrik Ibsen, premieres in Copenhagen, Denmark";1879;;https://en.wikipedia.org/wiki/A_Doll%27s_House;1879_Et_Dukkehjem_Ibsen.jpg;
29;;"Jules Verne's ""Twenty Thousand Leagues Under the Seas"" is published in book form";1870;;https://en.wikipedia.org/wiki/Twenty_Thousand_Leagues_Under_the_Seas;1870_Verne_frontispiece.jpg;
30;;The Quebec Conference is held to discuss a proposed Canadian confederation;1864;;https://en.wikipedia.org/wiki/Quebec_Conference,_1864;1864_Fathers_of_Confederation.jpg;
31;;"Volume ""Les Fleurs du mal"" by French poet Charles Baudelaire is first published";1857;;https://en.wikipedia.org/wiki/Les_Fleurs_du_mal;1857_Fleurs_du_mal.jpg;
32;;"""Moby-Dick"" by American writer Herman Melville is first published";1851;;https://en.wikipedia.org/wiki/Moby-Dick;1851_Moby_Dick.jpg;
33;;"English author Emily Brontë publishes ""Wuthering Heights"" under her pen name Ellis Bell";1847;;https://en.wikipedia.org/wiki/Wuthering_Heights;1847_Emily_Brontë.jpeg;
34;;Norwegian composer and pianist Edvard Grieg is born in Bergen;1843;;https://en.wikipedia.org/wiki/Edvard_Grieg;1843_birth_Edvard_Grieg_(1888).jpg;
35;;"Two versions of the subject ""The Burning of the Houses of Lords and Commons"" are painted by William Turner";1834;;https://en.wikipedia.org/wiki/The_Burning_of_the_Houses_of_Lords_and_Commons;1834_Houses_of_Lords_and_Commons_burning.jpg;
36;;"Japanese ukiyo-e artist Hokusai creates his notorious woodblock print ""The Great Wave off Kanagawa""";1831;;https://en.wikipedia.org/wiki/The_Great_Wave_off_Kanagawa;1831_Tsunami_by_hokusai_19th_century.jpeg;
37;;Declaration of independence of Brazil from Portugal;1822;;https://en.wikipedia.org/wiki/Independence_of_Brazil;1822_Independence_Brazil.jpg;
38;;"German artist Caspar David Friedrich paints his ""Wanderer above the Sea of Fog""";1818;;https://en.wikipedia.org/wiki/Wanderer_above_the_Sea_of_Fog;1818_Caspar_David_Friedrich_Wanderer.jpeg;
39;;"Mary Shelley publishes her iconic novel ""Frankenstein; or, The Modern Prometheus""";1818;;https://en.wikipedia.org/wiki/Frankenstein;1818_Frontispiece_to_Frankenstein_(1831).jpg;
40;;Birth of Ada Lovelace, mathematician and writer, often referred to as the first computer programmer;1815;;https://en.wikipedia.org/wiki/Ada_Lovelace;1815_Ada_Lovelace_portrait.jpg;
